EventTradeDate,Ticker,CAR_30D,ret_t0_t1,CAR_t1_t30,position,pred_reg,pnl
2017-08-15,EVEN3,0.0828786562037982,-0.0020639842204089,0.0828786562037982,1,-0.02719724,-0.0828786562037982
2017-11-14,EVEN3,0.109081654119017,0.0202027073187635,0.109081654119017,-1,-0.0251498,0.109081654119017
2018-03-27,EVEN3,-0.1937793436706638,-0.0710579212659924,-0.1937793436706638,1,-0.12501697,0.1937793436706638
2018-05-11,EVEN3,-0.0244530368362603,0.0083857933744714,-0.0244530368362603,-1,0.047065563,0.0244530368362603
2018-08-14,EVEN3,-0.2501770134054583,0.0445683194775904,-0.2501770134054583,-1,0.06174274,0.2501770134054583
2018-11-14,EVEN3,0.224580963718586,0.0953101798043247,0.224580963718586,-1,-0.004593083,0.224580963718586
2019-05-10,EVEN3,0.1224958050563272,0.0267101503283774,0.1224958050563272,-1,0.0049451767,-0.1224958050563272
2019-08-15,EVEN3,-0.0550639824733637,-0.0250639686633763,-0.0550639824733637,1,-0.016235953,0.0550639824733637
2019-11-13,EVEN3,0.1330089521601627,0.0015987213633534,0.1330089521601627,-1,-0.07257745,0.1330089521601627
2017-03-21,EZTC3,0.1051297736657068,-0.0101989665231958,0.1051297736657068,1,-0.057061065,-0.1051297736657068
2017-05-12,EZTC3,-0.1368705720672229,0.016544495022439,-0.1368705720672229,-1,-0.030838987,-0.1368705720672229
2017-08-11,EZTC3,0.0511339186450701,0.0063306761223051,0.0511339186450701,-1,-0.10771601,0.0511339186450701
2017-11-10,EZTC3,0.0767351062411156,-0.0258898903821604,0.0767351062411156,1,0.006769431,0.0767351062411156
2018-03-19,EZTC3,-0.1574314721057681,-0.0148150857818344,-0.1574314721057681,1,0.012023495,-0.1574314721057681
2018-05-11,EZTC3,-0.0928476771688724,-0.0225699856602262,-0.0928476771688724,1,0.02933717,-0.0928476771688724
2018-08-15,EZTC3,-0.0521786740598919,-0.0213819183226664,-0.0521786740598919,1,0.039026715,-0.0521786740598919
2018-11-09,EZTC3,0.1127286437847239,0.0229895182206634,0.1127286437847239,-1,-0.07091988,0.1127286437847239
2019-03-25,EZTC3,0.0016392455075823,0.0103987072163706,0.0016392455075823,-1,0.0046988684,-0.0016392455075823
2019-05-15,EZTC3,0.0772203289506267,-0.0280103762041088,0.0772203289506267,1,-0.0022417055,-0.0772203289506267
2019-08-15,EZTC3,-0.0180171144399797,-0.0052340916226668,-0.0180171144399797,1,-0.09385157,0.0180171144399797
2019-11-14,EZTC3,0.1396197259526649,0.0688630982642803,0.1396197259526649,-1,-0.12620448,0.1396197259526649
2017-04-26,FIBR3,0.2665920659117319,-0.0041536923684068,0.2665920659117319,1,0.028811285,0.2665920659117319
2017-07-26,FIBR3,0.266085752595794,-0.0084797600781042,0.266085752595794,1,0.030073356,0.266085752595794
2017-10-25,FIBR3,-0.1434586193263998,-0.014184634992681,-0.1434586193263998,1,0.018109508,-0.1434586193263998
2018-01-30,FIBR3,0.2534846637125457,0.0200328645296441,0.2534846637125457,-1,0.037204206,-0.2534846637125457
2018-04-26,FIBR3,0.0338729279319101,0.0094549382143142,0.0338729279319101,-1,0.02058437,-0.0338729279319101
2018-07-26,FIBR3,0.048234274938407,0.0030091665429899,0.048234274938407,-1,0.026243255,-0.048234274938407
2018-10-25,FIBR3,-0.0219560533384381,0.0025979367862547,-0.0219560533384381,-1,-0.036202297,-0.0219560533384381
2017-03-10,FLRY3,0.0870364919771964,-0.0190296057111554,0.0870364919771964,1,0.056665257,0.0870364919771964
2017-04-28,FLRY3,0.1988333706922483,0.1053182046320391,0.1988333706922483,-1,0.002290518,-0.1988333706922483
2017-07-28,FLRY3,0.0048477161601519,-0.002370070520295,0.0048477161601519,1,-0.046293337,-0.0048477161601519
2017-10-27,FLRY3,-0.1051055740703484,-0.0456700368349314,-0.1051055740703484,1,-0.010197108,0.1051055740703484
2018-03-06,FLRY3,-0.0662007867856852,-0.0121846590180866,-0.0662007867856852,1,-0.035801806,0.0662007867856852
2018-04-27,FLRY3,-0.026896511529334,-0.0234429340353343,-0.026896511529334,1,-0.017432898,0.026896511529334
2018-07-27,FLRY3,-0.0655747889604163,-0.0177251882435948,-0.0655747889604163,1,-0.019596452,0.0655747889604163
2018-10-26,FLRY3,-0.1179302724723826,-0.0258342035542948,-0.1179302724723826,1,0.036679197,-0.1179302724723826
2019-04-22,FLRY3,-0.1054558131248167,0.0036866401200376,-0.1054558131248167,-1,-0.078493886,-0.1054558131248167
2019-04-26,FLRY3,-0.0977075918160731,-0.0702607005006982,-0.0977075918160731,1,-0.014827747,0.0977075918160731
2019-07-26,FLRY3,0.0108338048144169,-0.0050654392844998,0.0108338048144169,1,-0.049366362,-0.0108338048144169
2019-10-25,FLRY3,0.1390971266331226,0.016188131732722,0.1390971266331226,-1,0.031307433,-0.1390971266331226
2017-05-10,GFSA3,-0.3155186488691764,-0.0613005258637958,-0.3155186488691764,1,-0.22798026,0.3155186488691764
2017-08-11,GFSA3,-0.0509123108167398,-0.0735502649355482,-0.0509123108167398,1,0.027626943,-0.0509123108167398
2017-11-10,GFSA3,0.1340606356719126,-0.0364882932631367,0.1340606356719126,1,-0.18671781,-0.1340606356719126
2018-03-12,GFSA3,0.053905677459467,-0.0118344576470027,0.053905677459467,1,-0.023807917,-0.053905677459467
2018-05-11,GFSA3,0.1786179624515602,-0.0032867737066225,0.1786179624515602,1,0.009077769,0.1786179624515602
2018-08-10,GFSA3,-0.099080082358969,0.0082304991365154,-0.099080082358969,-1,-0.024630316,-0.099080082358969
2018-11-09,GFSA3,0.401629605527412,0.1015797928179202,0.401629605527412,-1,-0.010690662,0.401629605527412
2019-04-04,GFSA3,-0.4387641175285078,-0.0366897572353446,-0.4387641175285078,1,-0.058364972,0.4387641175285078
2019-05-15,GFSA3,0.0795293511160755,-0.0492523781827453,0.0795293511160755,1,-0.029986514,-0.0795293511160755
2019-08-15,GFSA3,0.0176288494232934,-0.0622423088772208,0.0176288494232934,1,0.025530977,0.0176288494232934
2019-11-11,GFSA3,0.2967907184898599,0.0691037915691461,0.2967907184898599,-1,0.055666655,-0.2967907184898599
2017-02-23,GGBR3,0.2123785047023328,-0.0122155877698911,0.2123785047023328,1,-0.12039562,-0.2123785047023328
2017-05-05,GGBR3,0.0758245794138458,0.0065934304809965,0.0758245794138458,-1,0.0008584265,-0.0758245794138458
